segment,category,fit,organisation,contact,email_or_channel,phone,notes,sustainability_interest,sustainability_signal
Enterprise,Apparel,High,Dunnes fashion/textiles,Textile buyers,Contact form fashion/home,+353 818 300066,Hangtags/labels,High,Same group
Enterprise,Apparel,Med,Brown Thomas Arnotts,Supplier Mgmt / Procurement,LinkedIn,,Luxury multi-brand,Med,Premium retail; selective sustainable brands
SME,Apparel,High,Independent fashion boutiques (via Barry Packaging clients),Boutique owners,barrypackaging.com testimonials channel,+353 66 7118200,Ask Barry for warm intros to boutique accounts,Med,Many indie boutiques seek eco packaging
Channel,Apparel,High,Design & Crafts Council Ireland / Design Ireland,Retailer programme,dcci.ie · designireland.ie,,350+ indie retailers; Showcase Ireland trade show,High,Craft/design sector leans sustainable & Irish-made
Channel,Apparel,Med,Showcase Ireland (trade expo),Exhibitor / buyer registration,showcaseireland.com,,Fashion jewellery home & gift buyers — SME heavy,Med,Platform; many exhibitors pitch sustainability
Enterprise,Hospitality,High,Dalata Hotel Group,Tony McGuigan,tmcguigan@dalatahotelgroup.com,+353 1 2069400,Enterprise hotel group,High,Published Sustainable Procurement Policy + Scope 3 supplier work
Enterprise,Hospitality,High,Dalata,Deborah Byrne,dbyrne@dalatahotelgroup.com,+353 1 2999020,Purchasing ops,High,Same group — purchasing ops
Channel,Hospitality,High,Bunzl Rafferty,Brendan Fleming / Tanya Barr,rafsales@bunzl.ie,+353 48 30252205,Distributes to boutique hotels & restaurants,High,"Public eco amenity ranges (bamboo, cornstarch, dispensers)"
Channel,Hospitality,High,Guest Supplies Ireland,Jason Osborne / Sandy Linnane,info@guestsupplies.ie; sandy@guestsupplies.ie,+353 87 7016393,Explicitly serves B&Bs to hotels,High,Markets eco-friendly / recyclable / biodegradable options
Channel,Hospitality,High,Bespoke Hospitality Supplies,Damian Caldwell,damian@bespokehospitality.ie,+353 85 2694123,Eco amenities for indie hotels,High,Eco amenities are core proposition
Channel,Hospitality,High,Avonlee,John Murphy,sales@avonlee.com,+353 21 4355271,Hotel amenities Cork — SME properties,Med,Amenities supplier — eco options available in category
SME,Hospitality,High,B&B Ireland (member network),Admin / trade,admin@bandbireland.com,+353 61 204455,Hundreds of independent B&Bs,Med,Members under guest pressure to cut plastics
Channel,Hospitality,High,Irish Hotels Federation,Supplier / member services,info@ihf.ie,+353 1 4976459,Hotels & guesthouses of all sizes,High,Runs Green Hospitality / supplier sustainability resources
SME,Hospitality,Med,Great National Hotels (regional group),Darren McGrath,dmg@greatnationalhotels.com,+353 65 6862001,Mid-size Irish hotel group,Med,Mid hotels — sector plastic & green tourism pressure
Channel,Hospitality,Med,Hugh Jordan Hotels division,Adrian Kelly,adrian.kelly@hughjordan.com,+353 86 8321066,Guest supplies,Med,Guest supplies — category shifting eco
Enterprise,Home textiles,High,Dunnes Homewares/Textiles,Home textiles buyers,Contact form Online fashion/home,+353 818 300066,Bed linen towels,High,Same group
Enterprise,Home textiles,High,Primark Homeware Buying,Head of Buying Homeware,IntroProcurement@primark.ie,,Dublin HQ,High,Same group — homeware sustainability agenda
Enterprise,Home textiles,Med,Brown Thomas Arnotts Home,Home buyers,LinkedIn,,Premium bedding,Med,Premium home — selective eco ranges
Channel,Home textiles,High,Johnsons Celtic Linen,David O'Connor,david.oconnor@celticlinen.ie,086 8041729,Hotel linen — groups & independents,Med,Commercial linen; industry efficiency/green ops
Channel,Home textiles,High,Johnsons Celtic Linen,Andrew Trigg,andrew.trigg@celticlinen.ie,087 1003318,Hospitality commercial,Med,Commercial linen; industry efficiency/green ops
SME,Home textiles,High,Linen Direct,Jack Connolly,jack@linendirect.com,+353 1 6902073,Irish linen supply — hotels & smaller buyers,Med,Hospitality linen — sustainability increasingly requested
SME,Home textiles,High,Murray Textiles,Áine Murray,sales@murraytextiles.ie,+353 63 81225,Family textile supplier — hospitality/SME,Med,Family textile — eco materials opportunity
SME,Home textiles,Med,Northern Feather (Westport),David Coakley,davidc@northernfeather.ie,+353 98 28874,Pillows/duvets — hotel & smaller orders,Med,Bedding — fill/material sustainability interest varies
SME,Home textiles,Med,Meadows & Byrne,Customer / buying,info@meadowsandbyrne.com,+353 21 4344100,Irish homeware retailer — multi-store mid-market,Med,Homeware retailer — some eco ranges typical
SME,Home textiles,Med,Hugo Home (Dublin),Store / buying,hugohome.ie,,Independent homeware — bedlinen giftware,Med,Indie homeware — often open to sustainable makers
Channel,Home textiles,Med,DCCI / Showcase Ireland,Buyer registration,dcci.ie · showcaseireland.com,,Home & giftware SME retailers,High,Design/craft network — sustainability & provenance focus
Enterprise,Home textiles,Med,Dalata textiles,Tony McGuigan,tmcguigan@dalatahotelgroup.com,+353 1 2069400,Linen tender schedule,High,Same group — linen tenders under sustainability policy
Channel,Home textiles,Med,Bunzl Rafferty textiles,Sales,rafsales@bunzl.ie,+353 48 30252205,Bedroom textiles to hotels of all sizes,High,Same distributor — hospitality sustainability offer
SME,Home & kitchen,High,Glenroyal Hotel Maynooth,Áine Healy Purchasing Manager,info@glenroyal.ie; marketing@glenroyal.ie,+353 1 6290909,4★ ~154 rooms + leisure; compostable bottles & dispenser toiletries — bamboo kits kitchen tools hotel kits,High,"Public: compostable bottles, dispenser toiletries, local food, solar"
SME,Home & kitchen,High,Osprey Hotel & Spa Naas,Michael Murray Purchasing Manager,info@osprey.ie,+353 45 881111,Glenroyal peer — spa/leisure/conference ~108 rooms,Med,Leisure peer — likely under green tourism pressure; no strong public policy found
SME,Home & kitchen,High,Killashee Hotel & Spa Naas,Procurement & Stores / sales,info@killasheehotel.com; sales@killasheehotel.com,+353 45 879277,Active procurement role — leisure estate peer,Med,FBD leisure estate — sector sustainability pressure
SME,Home & kitchen,High,Keadeen Hotel Newbridge,Sales / general,info@keadeenhotel.ie; sales@keadeenhotel.ie,+353 45 431666,Kildare leisure/wedding — same catchment as Glenroyal,Med,Independent leisure — plastic rules apply; limited public ESG
SME,Home & kitchen,High,Fitzwilliam Hotel Dublin,James Carlton Purchasing Manager,info@fitzwilliamhoteldublin.com,+353 1 4787000,Sustainable procurement policy — eliminate single-use plastic,High,Published sustainability report + sustainable procurement policy
SME,Home & kitchen,Med,Citywest Hotel,Brian Sullivan Purchasing Manager,citywesthotel.com · LinkedIn,,Large conference/leisure campus,Med,Large campus — ESG/procurement pressure likely
Enterprise,Home & kitchen,High,Talbot Collection,Lorraine Minnock Purchasing Manager,lminnock@talbotcollection.ie,+353 53 9122566,6+ hotels; green procurement policy,High,Explicit Green Procurement Policy across collection
Enterprise,Home & kitchen,High,Tifco Hotel Group,Raymond Gallagher Group Head of Purchasing,rgallagher@tifcohotels.ie,+353 1 8628826,~3000 rooms — amenities + kitchen,Med,Large operator — brand ESG (Hilton etc.) + sector rules
Enterprise,Home & kitchen,High,O'Callaghan Collection,Ruth Duggan Head of Group Procurement,ruth.duggan@ocallaghancollection.com,+353 1 6073900,Dublin boutiques — innovative products by email,Med,Boutique Dublin — seeks innovative products; ESG rising
Enterprise,Home & kitchen,Med,Doyle Collection,Andrea Wehrley Group Procurement,andrea_wehrley@doylecollection.com,+353 1 6070040,Westbury Croke Park River Lee — send profile first,Med,Upscale group — sustainability programmes typical at this tier
Channel,Home & kitchen,High,Windward Purchasing,Niall Kelly / Colm Killackey,purchasing@windwardpurchasing.ie,+353 61 770007,GPO for 40+ Irish hotels,Med,GPO cost-led but clients demand responsible sourcing
Channel,Home & kitchen,High,Entegra Procurement Ireland,Sean Singleton MD Ireland,sean.singleton@entegraps.eu; info@entegraps.ie,085 1177112,Hotel GPO — kitchen/equipment & responsible sourcing,High,Public responsible sourcing / CSR procurement offer
Enterprise,Home & kitchen,High,FBD Hotels & Resorts,Group procurement / HQ,info@fbdhotels.com,+353 1 6371779 (PR),Owns Killashee Castleknock Faithlegg Grand Heritage — leisure peers,Med,Multi-property leisure group — sector green tourism
Enterprise,Home & kitchen,High,MHL Hotel Collection,Group procurement,mhlhotelcollection.com · Strand Limerick buyers,,~12 hotels incl Powerscourt Westin InterContinental Galmont Strand,Med,Luxury portfolio — brand ESG expectations
Enterprise,Home & kitchen,Med,Neville Hotel Group,Group / property GMs,nevillegroup.ie · LinkedIn,,Druids Glen Royal Marine Tower Waterford Kilkenny River Court,Med,Regional luxury/leisure — sector pressure
Enterprise,Home & kitchen,Med,Choice Hotel Group,Procurement service,choicehotelgroup.ie,,Manages multi-hotel portfolio + procurement offering,Med,Management co — procurement efficiencies + ESG for owners
SME,Home & kitchen,High,Carton House (Maynooth),Purchasing / GM,cartonhouse.com · +353 1 5052000,+353 1 5052000,Glenroyal neighbour — resort amenities kitchen spa,Med,Resort/spa — guest expectations for eco amenities
SME,Home & kitchen,Med,Castleknock Hotel (FBD),Purchasing via FBD,info@castleknockhotel.com · fbdhotels.com,,Dublin leisure/country club — amenities kitchen,Med,Leisure/country club — via FBD
SME,Home & kitchen,Med,Powerscourt Hotel (MHL),Purchasing / GM,powerscourthotel.com,,5★ spa resort — guest amenities volume,Med,5★ spa — guest & brand ESG expectations
Channel,Home & kitchen,High,Kendermar Distributors,Sales,kendermar.ie,,Crockery utensils in-room products to hotels care homes,Med,Hospitality wholesaler — stocking eco lines opportunity
Channel,Home & kitchen,High,Conaty Catering,Sales,conatycatering.com,,Kitchen accessories bamboo skewers hospitality Ireland,High,Already lists bamboo/biodegradable kitchen accessories
Channel,Home & kitchen,Med,Gilmartins Catering & Hygiene,Sales,gilmartins.ie,,Hotels restaurants cafes nationwide from Mayo HQ,Med,Broad catering supply — eco category growth
Enterprise,Home textiles,High,Avoca — retail home & gift,Kate Coughlan Head of Retail Buying,LinkedIn · avoca.ie · Kilmacanogue,+353 1 2867466,13 stores — homeware gifts clothes; email + samples,High,Irish provenance / quality lifestyle — strong sustainability affinity
SME,Home textiles,Med,Joli Home (Leitrim),Jennifer Flynn buying,joli.ie,,Indie ethical home & gift — plastic-light packaging ethos,High,Ethical sourcing + plastic-light packaging ethos
SME,Home textiles,Med,We Make Good,Wholesale / stockists,wemakegood.ie,,Ethical homeware stockist network Ireland,High,Ethical/sustainable homeware is the brand
Channel,Packaging,Med,Tekspek Solutions,Sales,info@tekspek.ie,+353 51 855623,Biodegradable food packaging channel — adjacent eco buyers,High,Core business = biodegradable food packaging
Enterprise,Apparel,Med,TK Maxx Ireland,Buying / supplier,tkmaxx.ie corporate,,Off-price apparel home — volume channel,Med,Parent TJX has sustainability programmes; off-price mix varies
SME,Apparel,Med,Síológ / indie kids multi-brand,Store buying,siolog.ie,,Ethical Irish kidswear multi-brand stockist,High,Ethical Irish kidswear curation is the proposition
Channel,Hospitality,Med,Irish Foodservice / Bord Bia directory,Operator listings,bordbia.ie foodservice directory,,Annual hotel GPO contacts refresh,Low,Directory only — not a buyer
